post_id,post,post_type,language,intent,sentiment_label,sentiment_confidence,category,topic,severity_level,risk_score,compliance_flag,product,summary,recommended_action,escalation_required,created_at
P001,UPI payment failed but money deducted,Complaint,English,Complaint,Negative,0.91,Payments,UPI debit issue,High,80,FALSE,UPI,UPI failure with debit,Escalate operations,TRUE,10-04-2026 09:05
P002,Got phishing SMS asking for OTP,Fraud,English,Fraud report,Negative,0.97,Fraud,Phishing SMS,Critical,96,TRUE,Internet Banking,Phishing attempt detected,Escalate fraud team,TRUE,10-04-2026 09:12
P003,App is working smoothly now,Feedback,English,Praise,Positive,0.86,Digital Banking,App performance,Low,12,FALSE,Mobile App,Positive app feedback,Monitor only,FALSE,10-04-2026 09:18
P004,Credit card charged extra fees,Complaint,English,Complaint,Negative,0.89,Loans,Hidden charges,Medium,58,FALSE,Credit Card,Fee complaint,Respond customer,FALSE,10-04-2026 09:25
P005,Net banking not working since morning,Complaint,English,Complaint,Negative,0.92,Digital Banking,Login failure,High,76,FALSE,Net Banking,Login issue,Escalate operations,TRUE,10-04-2026 09:41
P006,Great customer support experience,Feedback,English,Praise,Positive,0.88,Customer Service,Support quality,Low,8,FALSE,,Good service feedback,Monitor only,FALSE,10-04-2026 10:03
P007,OTP asked on suspicious call,Fraud,English,Fraud report,Negative,0.94,Fraud,OTP scam,Critical,93,TRUE,Bank Account,OTP scam detected,Escalate fraud team,TRUE,10-04-2026 10:15
P008,UPI is fine but competitor is faster,Feedback,English,Comparison,Neutral,0.74,Payments,UPI comparison,Medium,40,FALSE,UPI,Competitor comparison,Monitor,FALSE,10-04-2026 10:22
P009,Loan approval taking too long,Complaint,English,Complaint,Negative,0.87,Loans,Loan delay,Medium,52,FALSE,Loan,Delay complaint,Respond customer,FALSE,10-04-2026 10:37
P010,Loved cashback offers this month,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Cashback offer,Low,5,FALSE,Credit Card,Positive marketing response,Monitor,FALSE,10-04-2026 11:08
P011,ATM deducted money but no cash,Complaint,English,Complaint,Negative,0.92,Payments,ATM failure,High,81,FALSE,ATM,ATM cash issue,Escalate ops,TRUE,10-04-2026 11:19
P012,KYC OTP scam call received,Fraud,English,Fraud report,Negative,0.95,Fraud,KYC scam,Critical,94,TRUE,KYC,Fraud attempt,Escalate fraud,TRUE,10-04-2026 11:27
P013,Loan interest okay but slow process,Feedback,English,Feedback,Neutral,0.78,Loans,Loan speed,Medium,38,FALSE,Loan,Mixed feedback,Monitor,FALSE,10-04-2026 12:02
P014,App crashes during transfer,Complaint,English,Complaint,Negative,0.93,Digital Banking,App crash,High,84,FALSE,Mobile App,Crash issue,Escalate ops,TRUE,10-04-2026 12:16
P015,Great cashback rewards,Promotion,English,Marketing engagement,Positive,0.9,Marketing,Rewards,Low,6,FALSE,Credit Card,Positive rewards,Monitor,FALSE,10-04-2026 12:45
P016,Unauthorized transaction attempt,Fraud,English,Fraud report,Negative,0.96,Fraud,Unauthorized access,Critical,97,TRUE,Bank Account,Fraud attempt,Escalate fraud,TRUE,10-04-2026 13:05
P017,Net banking UI feels outdated,Feedback,English,Feedback,Neutral,0.72,Digital Banking,UI feedback,Medium,42,FALSE,Net Banking,UI comparison,Monitor,FALSE,10-04-2026 13:18
P018,Transaction failed but money deducted,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction,High,86,FALSE,UPI,Transaction issue,Escalate ops,TRUE,10-04-2026 13:39
P019,Lottery scam SMS received,Fraud,English,Fraud report,Negative,0.93,Fraud,Lottery scam,Critical,92,TRUE,SMS Alerts,Scam SMS,Escalate fraud,TRUE,10-04-2026 14:07
P020,Branch wait time too long,Feedback,English,Feedback,Neutral,0.75,Customer Service,Branch delay,Medium,45,FALSE,Branch Service,Service delay,Monitor,FALSE,10-04-2026 14:28
P021,Money transferred but receiver did not get it,Complaint,English,Complaint,Negative,0.92,Payments,Transfer failure,High,83,FALSE,UPI,Delayed transfer issue,Escalate operations,TRUE,11-04-2026 15:11
P022,Received fake email asking to verify bank details urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,Phishing email,Critical,95,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,11-04-2026 15:49
P023,Mobile app UI is very user friendly and fast,Feedback,English,Praise,Positive,0.89,Digital Banking,App usability,Low,10,FALSE,Mobile App,Positive UI feedback,Monitor only,FALSE,11-04-2026 16:06
P024,Credit card bill not reflecting recent payment,Complaint,English,Complaint,Negative,0.9,Loans,Billing issue,Medium,60,FALSE,Credit Card,Billing mismatch issue,Respond customer,FALSE,11-04-2026 16:33
P025,UPI services down again today,Complaint,English,Complaint,Negative,0.94,Payments,UPI outage,High,88,FALSE,UPI,Service outage complaint,Escalate operations,TRUE,10-04-2026 17:02
P026,"Support team resolved my issue quickly, very satisfied",Feedback,English,Praise,Positive,0.88,Customer Service,Fast resolution,Low,7,FALSE,,Positive support feedback,Monitor only,FALSE,10-04-2026 09:02
P027,Someone tried to login to my account from unknown location,Fraud,English,Fraud report,Negative,0.97,Fraud,Unauthorized login,Critical,98,TRUE,Net Banking,Suspicious login attempt,Escalate fraud team,TRUE,10-04-2026 09:14
P028,Loan interest rates are higher compared to competitors,Feedback,English,Comparison,Neutral,0.76,Loans,Interest comparison,Medium,48,FALSE,Loan,Competitor comparison,Monitor,FALSE,10-04-2026 09:29
P029,ATM withdrawal successful but cash was delayed,Complaint,English,Complaint,Negative,0.86,Payments,ATM delay,Medium,55,FALSE,ATM,ATM delay issue,Respond customer,FALSE,10-04-2026 09:36
P030,Bank app keeps logging me out frequently,Complaint,English,Complaint,Negative,0.91,Digital Banking,Session issue,High,79,FALSE,Mobile App,Session instability,Escalate ops,TRUE,10-04-2026 10:06
P031,"Got cashback instantly on transaction, very happy",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive offer feedback,Monitor only,FALSE,12-04-2026 10:17
