post_id,post,post_type,sentiment_label,sentiment_confidence,category,severity_level,compliance_flag,summary,recommended_action,created_at
P001,UPI payment failed but money deducted,Complaint,Negative,0.91,Payments,High,FALSE,UPI failure with debit,Escalate operations,10-04-2026 09:05
P002,Got phishing SMS asking for OTP,Fraud,Negative,0.97,Fraud,Critical,TRUE,Phishing attempt detected,Escalate fraud team,10-04-2026 09:12
P003,App is working smoothly now,Feedback,Positive,0.86,Digital Banking,Low,FALSE,Positive app feedback,Monitor only,10-04-2026 09:18
P004,Credit card charged extra fees,Complaint,Negative,0.89,Loans,Medium,FALSE,Fee complaint,Respond customer,10-04-2026 09:25
P005,Net banking not working since morning,Complaint,Negative,0.92,Digital Banking,High,FALSE,Login issue,Escalate operations,10-04-2026 09:41
P006,Great customer support experience,Feedback,Positive,0.88,Customer Service,Low,FALSE,Good service feedback,Monitor only,10-04-2026 10:03
P007,OTP asked on suspicious call,Fraud,Negative,0.94,Fraud,Critical,TRUE,OTP scam detected,Escalate fraud team,10-04-2026 10:15
P008,UPI is fine but competitor is faster,Feedback,Neutral,0.74,Payments,Medium,FALSE,Competitor comparison,Monitor,10-04-2026 10:22
P009,Loan approval taking too long,Complaint,Negative,0.87,Loans,Medium,FALSE,Delay complaint,Respond customer,10-04-2026 10:37
P010,Loved cashback offers this month,Promotion,Positive,0.89,Marketing,Low,FALSE,Positive marketing response,Monitor,10-04-2026 11:08
P011,ATM deducted money but no cash,Complaint,Negative,0.92,Payments,High,FALSE,ATM cash issue,Escalate ops,10-04-2026 11:19
P012,KYC OTP scam call received,Fraud,Negative,0.95,Fraud,Critical,TRUE,Fraud attempt,Escalate fraud,10-04-2026 11:27
P013,Loan interest okay but slow process,Feedback,Neutral,0.78,Loans,Medium,FALSE,Mixed feedback,Monitor,10-04-2026 12:02
P014,App crashes during transfer,Complaint,Negative,0.93,Digital Banking,High,FALSE,Crash issue,Escalate ops,10-04-2026 12:16
P015,Great cashback rewards,Promotion,Positive,0.9,Marketing,Low,FALSE,Positive rewards,Monitor,10-04-2026 12:45
